   R      RHORP    DRHORP     RHORN    DRHORN
 18.95  0         0         0         0
 19.05  0         0         0         0
 19.15  0         0         0         0
 19.25  0         0         0         0
 19.35  0         0         0         0
 19.45  0         0         0         0
 19.55  0         0         0         0
 19.65  0         0         0         0
 19.75  0         0         0         0
 19.85  0         0         0         0
 19.95  0         0         0         0
 20.05  0         0         0         0
