he8 2.000 6.000 43.781 60.302
li11 3.000 8.000 54.448 68.184
li6 0.000 0.000 0.000 0.000
li6s 0.000 0.000 0.000 0.000
li7 0.000 0.000 0.000 0.000
li7s 0.000 0.000 0.000 0.000
li8 3.000 5.000 58.012 69.020
li9 3.000 6.000 64.831 86.245
o16 7.988 7.988 145.855 145.855
o16_v18 7.988 7.988 161.794 161.794
be8_0 4.000 4.000 78.040 78.040
be8_2 4.000 4.000 75.299 75.299
be8_4 4.000 4.000 68.815 68.815
be8_aa0 0.842 0.842 10.119 10.119
be8_aa2 0.826 0.826 8.800 8.800
be8_aa4 0.752 0.752 26.620 26.620
h3_dn 1.349 1.349 1.989 1.989
he4_dd 1.626 1.626 4.702 4.702
he4_uix 2.000 2.000 37.493 37.493
li6_ad1 0.866 0.866 5.387 5.387
li6_ad3 0.935 0.935 5.027 5.027
li7_1 3.000 4.000 52.451 58.543
li7_3 3.000 4.000 52.925 59.426
li7_5 3.000 4.000 49.362 54.029
li7_7 3.000 4.000 49.684 54.598
li7_at1 0.982 0.982 17.298 17.298
li7_at3 0.998 0.998 17.988 17.988
li7_at5 0.952 0.952 22.263 22.263
li7_at7 0.963 0.963 22.488 22.488
b10_3p 5.000 5.000 99.412 99.412
b11 5.000 6.000 109.545 119.285
b7 0.000 0.000 0.000 0.000
b8 5.000 3.000 69.355 58.275
be10_0p 4.000 6.000 88.017 100.907
be12 4.001 8.022 87.708 149.792
be6 0.000 0.000 0.000 0.000
be7 0.000 0.000 0.000 0.000
be7s 0.000 0.000 0.000 0.000
be8.av18uix 0.000 0.000 0.000 0.000
be8 0.000 0.000 0.000 0.000
be9 4.000 5.000 79.708 84.891
c10_0p 0.000 0.000 0.000 0.000
c11 0.000 0.000 0.000 0.000
c12 6.000 6.000 136.776 136.776
c12c.av18uix 6.000 6.000 165.794 165.794
c8 0.000 0.000 0.000 0.000
c9 0.000 0.000 0.000 0.000
ca40 20.000 20.000 379.128 379.128
ca40_v18 19.982 19.982 412.034 412.034
h2 1.000 1.000 5.617 5.617
h3 1.000 2.000 12.344 16.484
h5 0.000 0.000 0.000 0.000
he10 2.000 8.000 42.015 53.454
he3 2.000 1.000 16.177 12.168
he4 2.000 2.000 37.226 37.226
he4_v18 2.000 2.000 31.020 31.020
he6 2.000 4.000 38.203 43.943
he7 0.000 0.000 0.000 0.000
he8 2.000 6.000 43.781 60.302
li11 3.000 8.000 54.448 68.184
li6 0.000 0.000 0.000 0.000
li6s 0.000 0.000 0.000 0.000
li7 0.000 0.000 0.000 0.000
li7s 0.000 0.000 0.000 0.000
li8 3.000 5.000 58.012 69.020
li9 3.000 6.000 64.831 86.245
o16 7.988 7.988 145.855 145.855
o16_v18 7.988 7.988 161.794 161.794
be8_0 4.000 4.000 78.040 78.040
be8_2 4.000 4.000 75.299 75.299
be8_4 4.000 4.000 68.815 68.815
be8_aa0 0.842 0.842 10.119 10.119
be8_aa2 0.826 0.826 8.800 8.800
be8_aa4 0.752 0.752 26.620 26.620
h3_dn 1.349 1.349 1.989 1.989
he4_dd 1.626 1.626 4.702 4.702
he4_uix 2.000 2.000 37.493 37.493
li6_ad1 0.866 0.866 5.387 5.387
li6_ad3 0.935 0.935 5.027 5.027
li7_1 3.000 4.000 52.451 58.543
li7_3 3.000 4.000 52.925 59.426
li7_5 3.000 4.000 49.362 54.029
li7_7 3.000 4.000 49.684 54.598
li7_at1 0.982 0.982 17.298 17.298
li7_at3 0.998 0.998 17.988 17.988
li7_at5 0.952 0.952 22.263 22.263
li7_at7 0.963 0.963 22.488 22.488
b10_3p 5.000 5.000 99.412 99.412
b11 5.000 6.000 109.545 119.285
b7 0.000 0.000 0.000 0.000
b8 5.000 3.000 69.355 58.275
be10_0p 4.000 6.000 88.017 100.907
be12 4.001 8.022 87.708 149.792
be6 0.000 0.000 0.000 0.000
be7 0.000 0.000 0.000 0.000
be7s 0.000 0.000 0.000 0.000
be8.av18uix 0.000 0.000 0.000 0.000
be8 0.000 0.000 0.000 0.000
be9 4.000 5.000 79.708 84.891
c10_0p 0.000 0.000 0.000 0.000
c11 0.000 0.000 0.000 0.000
c12 6.000 6.000 136.776 136.776
c12c.av18uix 6.000 6.000 165.794 165.794
c8 0.000 0.000 0.000 0.000
c9 0.000 0.000 0.000 0.000
ca40 20.000 20.000 379.128 379.128
ca40_v18 19.982 19.982 412.034 412.034
h2 1.000 1.000 5.617 5.617
h3 1.000 2.000 12.344 16.484
h5 0.000 0.000 0.000 0.000
he10 2.000 8.000 42.015 53.454
he3 2.000 1.000 16.177 12.168
he4 2.000 2.000 37.226 37.226
he4_v18 2.000 2.000 31.020 31.020
he6 2.000 4.000 38.203 43.943
he7 0.000 0.000 0.000 0.000
he8 2.000 6.000 43.781 60.302
li11 3.000 8.000 54.448 68.184
li6 0.000 0.000 0.000 0.000
li6s 0.000 0.000 0.000 0.000
li7 0.000 0.000 0.000 0.000
li7s 0.000 0.000 0.000 0.000
li8 3.000 5.000 58.012 69.020
li9 3.000 6.000 64.831 86.245
o16 7.988 7.988 145.855 145.855
o16_v18 7.988 7.988 161.794 161.794
be8_0 4.000 4.000 78.040 78.040
be8_2 4.000 4.000 75.299 75.299
be8_4 4.000 4.000 68.815 68.815
be8_aa0 0.842 0.842 10.119 10.119
be8_aa2 0.826 0.826 8.800 8.800
be8_aa4 0.752 0.752 26.620 26.620
h3_dn 1.349 1.349 1.989 1.989
he4_dd 1.626 1.626 4.702 4.702
he4_uix 2.000 2.000 37.493 37.493
li6_ad1 0.866 0.866 5.387 5.387
li6_ad3 0.935 0.935 5.027 5.027
li7_1 3.000 4.000 52.451 58.543
li7_3 3.000 4.000 52.925 59.426
li7_5 3.000 4.000 49.362 54.029
li7_7 3.000 4.000 49.684 54.598
li7_at1 0.982 0.982 17.298 17.298
li7_at3 0.998 0.998 17.988 17.988
li7_at5 0.952 0.952 22.263 22.263
li7_at7 0.963 0.963 22.488 22.488
b10_3p 5.000 5.000 99.412 99.412
b11 5.000 6.000 109.545 119.285
b7 0.000 0.000 0.000 0.000
b8 5.000 3.000 69.355 58.275
be10_0p 4.000 6.000 88.017 100.907
be12 4.001 8.022 87.708 149.792
be6 0.000 0.000 0.000 0.000
be7 0.000 0.000 0.000 0.000
be7s 0.000 0.000 0.000 0.000
be8.av18uix 0.000 0.000 0.000 0.000
be8 0.000 0.000 0.000 0.000
be9 4.000 5.000 79.708 84.891
c10_0p 0.000 0.000 0.000 0.000
c11 0.000 0.000 0.000 0.000
c12 6.000 6.000 136.776 136.776
c12c.av18uix 6.000 6.000 165.794 165.794
c8 0.000 0.000 0.000 0.000
c9 0.000 0.000 0.000 0.000
ca40 20.000 20.000 379.128 379.128
ca40_v18 19.982 19.982 412.034 412.034
h2 1.000 1.000 5.617 5.617
h3 1.000 2.000 12.344 16.484
h5 0.000 0.000 0.000 0.000
he10 2.000 8.000 42.015 53.454
he3 2.000 1.000 16.177 12.168
he4 2.000 2.000 37.226 37.226
he4_v18 2.000 2.000 31.020 31.020
he6 2.000 4.000 38.203 43.943
he7 0.000 0.000 0.000 0.000
he8 2.000 6.000 43.781 60.302
li11 3.000 8.000 54.448 68.184
li6 0.000 0.000 0.000 0.000
li6s 0.000 0.000 0.000 0.000
li7 0.000 0.000 0.000 0.000
li7s 0.000 0.000 0.000 0.000
li8 3.000 5.000 58.012 69.020
li9 3.000 6.000 64.831 86.245
o16 7.988 7.988 145.855 145.855
o16_v18 7.988 7.988 161.794 161.794
be8_0 4.000 4.000 78.040 78.040
be8_2 4.000 4.000 75.299 75.299
be8_4 4.000 4.000 68.815 68.815
be8_aa0 0.842 0.842 10.119 10.119
be8_aa2 0.826 0.826 8.800 8.800
be8_aa4 0.752 0.752 26.620 26.620
h3_dn 1.349 1.349 1.989 1.989
he4_dd 1.626 1.626 4.702 4.702
he4_uix 2.000 2.000 37.493 37.493
li6_ad1 0.866 0.866 5.387 5.387
li6_ad3 0.935 0.935 5.027 5.027
li7_1 3.000 4.000 52.451 58.543
li7_3 3.000 4.000 52.925 59.426
li7_5 3.000 4.000 49.362 54.029
li7_7 3.000 4.000 49.684 54.598
li7_at1 0.982 0.982 17.298 17.298
li7_at3 0.998 0.998 17.988 17.988
li7_at5 0.952 0.952 22.263 22.263
li7_at7 0.963 0.963 22.488 22.488
